Item,Size,kcal
Milk,1 Cup,122
Abalone,100g,105
Acai Berries,100g,70
Acai Bowl,1 Portion,350
Acai Smoothie,1 Cup,250
Acaraje,1 Piece,260
Ackee,100g,151
Ackee and Saltfish,1 Portion,330
Acorn Squash,1 Cup,56
Adana Kebab,1 Item,430
Adzuki Beans,1 Cup,294
Affidelice,1 Portion,110
Affogato,1 Piece,220
African Star Apple,100g,67
Agave Nectar,1 Tablespoon,60
Aged Cheddar,1 Portion,120
Agedashi Tofu,1 Portion,150
Agua Fresca,1 Cup,80
Ahi Tuna,100g,109
Aioli,1 Tablespoon,100
Albondigas,1 Portion,300
Alfredo Sauce,1 Cup,440
Alligator Meat,100g,232
Allspice,1 Teaspoon,5
Almond Brownie,1 Item,314
Almond Butter,2 Tablespoons,196
Almond Cake,1 Slice,374
Almond Cheesecake,1 Slice,481
Almond Cookie,1 Item,122
Almond Cupcake,1 Item,241
Almond Milk,1 Cup,60
Almond Muffin,1 Item,265
Almond Pie,1 Slice,380
Almond Scone,1 Item,216
Almonds,1 Portion,164
Aloo Gobi,1 Portion,230
Aloo Matar,1 Portion,250
Aloo Paratha,1 Piece,300
Aloo Tikki,1 Item,180
Amaranth Cooked,1 Cup,251
Amaranth Leaves,1 Cup,6
Amaranth Seeds,100g,371
Amaretti Cookie,1 Piece,72
Amaretto,1 Portion,110
Amatriciana Pasta,1 Portion,480
Ambrosia Salad,1 Cup,320
American Cheese,1 Slice,104
Americano,1 Cup,15
Anasazi Beans,1 Cup,215
Anchovies,100g,210
Anchovy Paste,1 Teaspoon,15
Anchovy Pizza,1 Slice,280
Andouille Sausage,100g,220
Angel Food Cake,1 Slice,129
Angel Hair Cooked,1 Cup,200
Animal Crackers,1 Portion,130
Anise Seed,1 Teaspoon,7
Anpan,1 Item,280
Anticuchos Beef Heart,2 Items,160
Antipasto,1 Portion,385
Aperol Spritz,1 Item,135
Appenzeller,1 Portion,112
Apple,1 Item,95
Apple Brownie,1 Item,315
Apple Butter,1 Tablespoon,29
Apple Cake,1 Slice,376
Apple Cheesecake,1 Slice,433
Apple Cider,1 Cup,200
Apple Cookie,1 Item,203
Apple Cupcake,1 Item,249
Apple Juice,1 Cup,114
Apple Muffin,1 Item,283
Apple Pie,1 Slice,296
Apple Scone,1 Item,230
Apple Strudel,1 Piece,195
Applesauce,1 Cup,167
Apricot,1 Item,17
Apricot Jam,1 Tablespoon,48
Arancini,1 Item,210
Arancini Rice Balls,2 Pieces,300
Arborio Rice,1 Cup,220
Arctic Char,100g,182
Arepa,1 Piece,280
Arepa with Cheese,1 Item,350
Arepa with Meat,1 Item,420
Arnold Palmer,1 Cup,60
Arrabbiata Sauce,1 Cup,80
Arrowroot,100g,65
Arroz Con Frijoles,1 Portion,390
Arroz Con Leche,1 Portion,280
Arroz Con Pollo,1 Portion,420
Artichoke,1 Item,60
Artichoke Dip,2 Tablespoons,50
Artichoke Heart,100g,35
Artichoke Steamed,1 Item,60
Arugula,1 Cup,5
Arugula Salad,1 Portion,70
Arugula Salad with Dressing,1 Portion,228
Ash Reshteh,1 Portion,230
Asiago,1 Portion,110
Asian Pear,1 Item,51
Asparagus,1 Cup,27
Atlantic Salmon,100g,206
Attieke,1 Portion,280
Au Gratin Potatoes,1 Cup,320
Au Jus,1 Cup,20
Avgolemono Soup,1 Cup,165
Avocado,1 Item,322
Avocado Dip,2 Tablespoons,50
Avocado Hummus,2 Tablespoons,50
Avocado Oil,1 Tablespoon,124
Avocado Toast,1 Slice,190
Ayam Goreng,1 Piece,280
Ayran,1 Item,65
Barbecue Almonds,1 Portion,176
Barbecue Cashews,1 Portion,163
Barbecue Cheese Puffs,1 Portion,137
Barbecue Mixed Nuts,1 Portion,199
Barbecue Peanuts,1 Portion,175
Barbecue Pistachios,1 Portion,153
Barbecue Popcorn,1 Portion,134
Barbecue Pork Rinds,1 Portion,199
Barbecue Potato Chips,1 Portion,188
Barbecue Pretzels,1 Portion,187
Barbecue Pumpkin Seeds,1 Portion,164
Barbecue Sunflower Seeds,1 Portion,163
Barbecue Tortilla Chips,1 Portion,150
Barbecue Walnuts,1 Portion,195
BLT Sandwich,1 Item,381
Baba Ganoush,2 Tablespoons,52
Babaco,100g,25
Apple Puree,100g,47
Banana Puree,100g,89
Carrot Puree,100g,35
Pea Puree,100g,50
Pear Puree,100g,50
Sweet Potato Puree,100g,76
Baby Lima Beans,1 Cup,189
Bacalhau a Bras,1 Cup,410
Bacon,1 Slice,43
Bacon Cheeseburger,1 Item,510
Bacon Grease,1 Tablespoon,115
Bacon Pizza,1 Slice,330
Bael Fruit,100g,137
Bagel Plain,1 Item,277
Bagel Whole Wheat,1 Item,245
Bagel with Cream Cheese,1 Item,390
Baghali Polo,1 Portion,420
Baguette,1 Slice,90
Baileys,1 Portion,147
Baingan Bharta,1 Portion,200
Baked Alaska,1 Piece,350
Baked Beans,1 Cup,266
Baked Beef,1 Portion,275
Baked Beef Ribs,1 Item,352
Baked Beef Steak,1 Portion,283
Baked Brie,1 Portion,350
Baked Broccoli,1 Portion,60
Baked Cheese,1 Portion,308
Baked Chicken,1 Portion,181
Baked Chicken Breast,1 Portion,173
Baked Chicken Thigh,1 Portion,219
Baked Chips,1 Portion,110
Baked Cod Fillet,1 Portion,110
Baked Duck Breast,1 Portion,346
Baked Egg,1 Item,85
Baked Eggplant,1 Portion,27
Baked Fish,1 Portion,132
Baked Green Beans,1 Portion,34
Baked Kale,1 Portion,36
Baked Lamb,1 Portion,310
Baked Lamb Chop,1 Portion,304
Baked Mixed Vegetables,1 Portion,38
Baked Mushrooms,1 Portion,24
Baked Oats,1 Portion,370
Baked Pork,1 Portion,254
Baked Pork Chop,1 Portion,262
Baked Pork Ribs,1 Item,330
Baked Potato,1 Item,278
Baked Salmon,1 Portion,226
Baked Salmon Fillet,1 Portion,218
Baked Seafood,1 Portion,165
Baked Shrimp,1 Portion,108
Baked Spinach,1 Portion,25
Baked Sweet Corn,1 Portion,94
Baked Sweet Potatoes,1 Portion,94
Baked Tilapia Fillet,1 Portion,115
Baked Tofu,1 Portion,83
Baked Tuna,1 Portion,145
Baked Turkey Breast,1 Portion,141
Baked Vegetables,1 Portion,88
Baked Ziti,1 Portion,530
Baked Zucchini,1 Portion,18
Bakewell Tart,1 Item,310
Baklava,1 Piece,334
Bakso,1 Item,320
Balsamic Glaze,1 Tablespoon,30
Balsamic Vinaigrette,2 Tablespoons,90
Balsamic Vinegar,1 Tablespoon,14
Bamboo Shoots,1 Cup,41
Banana,1 Item,105
Fruit Smoothie,1 Cup,230
Fruit and Peanut Butter Smoothie,1 Cup,320
Banana and Yogurt Smoothie,1 Cup,325
Banana Blossom,100g,51
Banana Bread,1 Slice,196
Banana Brownie,1 Item,333
Banana Cake,1 Slice,401
Banana Cheesecake,1 Slice,492
Banana Chips,1 Portion,147
Banana Cookie,1 Item,172
Banana Cream Pie,1 Slice,387
Banana Cupcake,1 Item,234
Banana Muffin,1 Item,269
Banana Pie,1 Slice,444
Banana Scone,1 Item,229
Banana Split,1 Piece,590
Bandeja Paisa,1 Portion,1000
Bangers and Mash,1 Portion,575
Banh Bao,1 Piece,200
Banh Canh,1 Portion,380
Banh Cuon,1 Portion,250
Banh Flan,1 Piece,220
Banh Khot,6 Pieces,280
Banh Mi Sandwich,1 Item,450
Banh Xeo Crepe,1 Piece,350
Baobab Fruit,100g,83
Baozi Pork Bun,1 Piece,175
Baozi Vegetable Bun,1 Piece,140
Barbacoa,100g,165
Barbecue Chicken,1 Portion,380
Barbecue Sauce,2 Tablespoons,52
Barfi,1 Piece,120
Barley Cooked,1 Cup,193
Barramundi,100g,102
Basil Dried,1 Teaspoon,1
Basmati Rice,1 Cup,210
Bass Striped,100g,97
Battered Onion Rings,1 Portion,290
Bay Leaf,1 Teaspoon,2
Barbecue Brisket,100g,280
Barbecue Brisket Sliced,100g,210
Barbecue Chicken Thigh,1 Piece,310
Barbecue Corn on Cob,1 Item,165
Barbecue Pork Ribs,3 Items,300
Barbecue Pulled Chicken,100g,150
Barbecue Pulled Pork,100g,210
Barbecue Beef Ribs,3 Items,350
Barbecue Salmon Fillet,100g,182
Barbecue Shrimp,100g,115
Bean and Bacon Soup,1 Cup,172
Bean Bisque Soup,1 Cup,294
Bean Broth Soup,1 Cup,163
Bean Chowder Soup,1 Cup,273
Bean Chunky Soup,1 Cup,129
Bean Cream of Soup,1 Cup,269
Bean Dip,2 Tablespoons,40
Bean Noodle Soup,1 Cup,243
Bean Rice Soup,1 Cup,145
Bean Salad,1 Portion,200
Bean Spicy Soup,1 Cup,118
Bean Sprouts,1 Cup,26
Bean Stew Soup,1 Cup,166
Bearnaise Sauce,2 Tablespoons,90
Beaufort,1 Portion,115
Bechamel Sauce,1 Cup,180
Beef Back Ribs,100g,275
Beef Biryani,1 Portion,482
Beef Bisque Soup,1 Cup,338
Beef Bourguignon,1 Cup,310
Beef Bowl,1 Portion,325
Beef Brain,100g,143
Beef Brisket,100g,293
Beef Broth Soup,1 Cup,139
Beef Burger,1 Item,375
Beef Cake,1 Portion,375
Beef Casserole,1 Portion,350
Beef Chili,1 Portion,350
Beef Chow Mein,1 Cup,370
Beef Chowder Soup,1 Cup,380
Beef Chuck Roast,100g,269
Beef Chunky Soup,1 Cup,160
Beef Congee,1 Portion,381
Beef Curry,1 Portion,350
Beef Filet Mignon,100g,263
Beef Fried Rice,1 Portion,383
Beef Green Curry,1 Portion,470
Beef Heart,100g,165
Beef Jalfrezi,1 Portion,431
Beef Jambalaya,1 Portion,487
Beef Jerky,1 Portion,116
Beef Kidney,100g,99
Beef Korma,1 Portion,566
Beef Liver,100g,135
Beef Madras,1 Portion,490
Beef Marrow Bone,1 Piece,110
Beef Massaman,1 Portion,521
Beef Meatballs,1 Portion,196
Chicken Meatballs,1 Portion,161
Beef Noodle Soup,1 Cup,196
Beef Omelette,1 Portion,325
Beef Paella,1 Portion,417
Beef Panang,1 Portion,488
Beef Pasta,1 Portion,350
Beef Pilaf,1 Portion,388
Beef Pot Pie,1 Piece,480
Beef Ramen Packet,1 Portion,380
Beef Red Curry,1 Portion,400
Beef Rib Roast,100g,291
Beef Rice Soup,1 Cup,113
Beef Risotto,1 Portion,337
Beef Rogan Josh,1 Portion,524
Beef Saag,1 Portion,464
Beef Salad,1 Portion,250
Beef Skewer,1 Item,275
Beef Skirt Steak,100g,204
Beef Soup,1 Portion,275
Beef Spleen,100g,105
Beef Steak Flank,100g,192
Beef Steak New York Strip,100g,232
Beef Steak Ribeye,100g,291
Beef Steak Sirloin,100g,206
Beef Steak T Bone,100g,247
Beef Stew,1 Cup,220
Beef Sticky Rice,1 Portion,399
Beef Strip Steak,100g,207
Beef Stroganoff,1 Cup,350
Beef Suet,100g,854
Beef Taco,1 Item,220
Beef Tenderloin,100g,263
Beef Tikka Masala,1 Portion,496
Beef Tongue,100g,224
Beef Tri-Tip,100g,218
Beef Tripe,100g,85
Beef Vindaloo,1 Portion,534
Beef Wellington,1 Portion,650
Beef Wrap,1 Item,325
Beef Yellow Curry,1 Portion,595
Beer Ale,1 Portion,180
Beer Bread,1 Slice,140
Beer Cheese Dip,2 Tablespoons,70
Beer Dark Lager,1 Portion,175
Beer Ipa,1 Portion,200
Beer Lager,1 Portion,145
Beer Light,1 Portion,103
Beer Pale Ale,1 Portion,175
Beer Pilsner,1 Portion,145
Beer Regular,1 Portion,153
Beer Stout,1 Portion,210
Beer Wheat,1 Portion,180
Beet,1 Cup,58
Beet Greens,1 Cup,8
Beet Juice,1 Cup,100
Beet Salad,1 Portion,150
Beignets,3 Pieces,300
Beijing Roast Duck,100g,337
Belgian Endive,1 Cup,9
Belgian Waffle,1 Item,218
Bell Pepper Green,1 Item,24
Bell Pepper Orange,1 Item,45
Bell Pepper Red,1 Item,37
Bell Pepper Yellow,1 Item,50
Bellini,1 Item,130
Bergamot,100g,36
Berliner Donut,1 Piece,300
Besan Ladoo,1 Piece,110
Beyti Kebab,1 Item,450
Bhatura,1 Piece,330
Bhel Puri,1 Portion,180
Bhindi Masala,1 Cup,150
Bhindi Okra Fry,1 Portion,180
Bibimbap,1 Portion,560
Bienenstich,1 Slice,350
Bilberry,1 Cup,57
Bindaetteok,1 Item,280
Bingsu,1 Portion,380
Birch Xylitol,1 Teaspoon,10
Bircher Muesli,1 Cup,350
Biriba Fruit,100g,62
Birria,1 Cup,315
Birria Taco,1 Item,200
Biryani,1 Cup,320
Biryani Chicken,1 Portion,490
Biryani Hyderabadi,1 Portion,520
Biryani Lamb,1 Portion,520
Biryani Mutton,1 Cup,450
Biryani Vegetable,1 Portion,380
Biscuit,1 Item,127
Biscuit Cookie Digestive,1 Piece,71
Biscuits and Gravy,1 Portion,530
Bisi Bele Bath,1 Portion,350
Bison Meat,100g,143
Bistecca Fiorentina,100g,270
Bitter Melon,1 Cup,24
Black Bean Burger,1 Item,115
Black Bean Hummus,2 Tablespoons,50
Black Bean Sauce,1 Tablespoon,20
Black Bean Soup,1 Cup,190
Black Beans,1 Cup,227
Black Cake Caribbean,1 Slice,350
Black Currant,1 Cup,71
Black Eyed Peas,1 Cup,198
Black Forest Cake,1 Slice,390
Black Forest Ham,100g,145
Black Pepper,1 Teaspoon,6
Black Pepper Crab,1 Portion,450
Black Pudding,100g,379
Black Rice,1 Cup,200
Black Russian,1 Item,182
Black Sesame Seeds,1 Tablespoon,50
Blackberries,1 Cup,62
Blackberry Jam,1 Tablespoon,50
Blackened Catfish,100g,130
Blackened Salmon,100g,190
Blondie,1 Item,220
Blood Orange,1 Item,70
Blood Sausage,100g,379
Bloody Mary,1 Item,125
Blue Cheese,1 Portion,100
Blue Cheese Crumbles,1 Portion,100
Blue Cheese Dressing,2 Tablespoons,151
Blueberries,1 Cup,84
Blueberry Brownie,1 Item,325
Blueberry Cake,1 Slice,382
Blueberry Cheesecake,1 Slice,455
Blueberry Cookie,1 Item,113
Blueberry Cupcake,1 Item,298
Blueberry Jam,1 Tablespoon,48
Blueberry Muffin,1 Item,313
Blueberry Pie,1 Slice,290
Blueberry Scone,1 Item,248
Bluefish,100g,124
Bo Luc Lac,1 Portion,380
Boar Wild Meat,100g,160
Boat Noodles,1 Portion,320
Bobotie,1 Portion,400
Boiled Asparagus,1 Cup,18
Boiled Bell Peppers,1 Cup,21
Boiled Broccoli,1 Cup,49
Boiled Brussels Sprouts,1 Cup,38
Boiled Cabbage,1 Cup,19
Boiled Carrots,1 Cup,36
Boiled Cauliflower,1 Cup,22
Boiled Egg Sliced,1 Item,78
Boiled Eggplant,1 Cup,22
Boiled Eggs with Avocado,1 Portion,292
Boiled Eggs with Bacon,1 Portion,261
Boiled Eggs with Ham,1 Portion,397
Boiled Eggs with Hash Browns,1 Portion,392
Boiled Eggs with Mushrooms,1 Portion,225
Boiled Eggs with Pancakes,1 Portion,388
Boiled Eggs with Sausage,1 Portion,214
Boiled Eggs with Spinach,1 Portion,378
Boiled Eggs with Toast,1 Portion,161
Boiled Eggs with Tomatoes,1 Portion,202
Boiled Eggs with Waffles,1 Portion,164
Boiled Green Beans,1 Cup,27
Boiled Kale,1 Cup,29
Boiled Mushrooms,1 Cup,19
Boiled Onions,1 Cup,36
Boiled Spinach,1 Cup,20
Boiled Zucchini,1 Cup,15
Bok Choy,1 Cup,9
Bok Choy Stir Fry,1 Portion,120
Bologna,1 Slice,87
Bolognese Sauce,1 Cup,280
Borage Leaves,100g,21
Borlotti Beans,1 Cup,244
Borscht,1 Portion,120
Bossam,100g,195
Boston Cream Pie,1 Slice,370
Bouillabaisse,1 Cup,240
Bouillabaisse Marseille,1 Portion,280
Bourbon,1 Portion,70
Boursault,1 Portion,120
Boysenberries,1 Cup,62
Braised Artichoke,1 Portion,78
Braised Asparagus,1 Portion,26
Braised Bacon,1 Portion,203
Braised Beef,1 Portion,325
Braised Beef Ribs,1 Item,416
Braised Broccoli,1 Portion,71
Braised Brussels Sprouts,1 Portion,55
Braised Cauliflower,1 Portion,32
Braised Cheese,1 Portion,145
Braised Chicken,1 Portion,214
Braised Egg,1 Item,101
Braised Eggplant,1 Portion,32
Braised Fish,1 Portion,156
Braised Green Beans,1 Portion,40
Braised Kale,1 Portion,42
Braised Lamb,1 Portion,366
Braised Leeks,1 Portion,100
Braised Mixed Vegetables,1 Portion,45
Braised Mushrooms,1 Portion,28
Braised Pork,1 Portion,300
Braised Pork Ribs,1 Item,390
Braised Potatoes,1 Portion,100
Braised Red Cabbage,1 Portion,90
Braised Salmon,1 Portion,267
Braised Seafood,1 Portion,195
Braised Shrimp,1 Portion,128
Braised Spinach,1 Portion,29
Braised Sweet Corn,1 Portion,111
Braised Sweet Potatoes,1 Portion,111
